id,name,date,time,description,dj_id,venue_id,created_at,updated_at,promoter_id,festival_id,photo_file_name,photo_content_type,photo_file_size,photo_updated_at
172,,2015-08-22,,,1786,,2015-08-24 20:51:43.496186,2015-08-24 20:55:34.087319,5,18,20150822_174641.jpg,image/jpeg,1512648,2015-08-24 20:51:42.289272
173,,2015-08-24,,,1788,1730,2015-08-24 21:28:12.633988,2015-08-24 21:32:50.209099,25,,,,,
174,,2015-08-23,,,1789,2036,2015-08-25 18:18:46.32477,2015-08-25 18:18:46.32477,,,20150822_005650.jpg,image/jpeg,768716,2015-08-25 18:18:44.081411
175,,2015-08-27,,,1790,2014,2015-08-29 21:36:23.07887,2015-08-29 21:36:23.07887,,,,,,
176,,2015-08-30,,,,2037,2015-08-31 15:13:25.232674,2015-08-31 15:13:25.232674,,,,,,
177,,2015-08-30,,,1791,1783,2015-08-31 15:32:25.448276,2015-08-31 15:32:25.448276,,,,,,
178,,2015-09-06,,,1792,,2015-09-08 13:23:37.406248,2015-09-08 13:23:37.406248,,8,20150906_181425.jpg,image/jpeg,1407380,2015-09-08 13:23:36.141548
179,,2015-09-03,,,1793,1939,2015-09-08 14:48:10.130852,2015-09-08 14:48:10.130852,,,,,,
180,,2015-09-12,,,534,1871,2015-09-14 20:15:33.389356,2015-09-14 20:15:33.389356,,,,,,
181,,2015-09-12,,,1794,2022,2015-09-15 01:21:57.075428,2015-09-15 01:25:53.398834,58,,20150912_184147.jpg,image/jpeg,1474011,2015-09-15 01:21:55.033883
182,,2015-09-16,,,1795,1784,2015-09-18 16:49:09.33853,2015-09-18 16:49:09.33853,,,20150916_185429.jpg,image/jpeg,1118087,2015-09-18 16:49:06.641615
184,,2015-09-19,,,1796,1783,2015-09-22 18:03:37.689117,2015-09-22 18:05:15.054782,15,,20150919_190431.jpg,image/jpeg,1244972,2015-09-22 18:05:12.655172
185,,2015-09-18,,,,2038,2015-09-22 18:34:23.851577,2015-09-22 18:34:23.851577,,,20150919_004716.jpg,image/jpeg,847888,2015-09-22 18:34:22.428881
186,,2015-09-19,,,,2040,2015-09-22 18:41:27.689168,2015-09-22 18:41:27.689168,,,,,,
187,,2015-09-29,,,1797,2041,2015-09-30 15:18:54.857656,2015-09-30 15:18:54.857656,,,14307631849_5d51123179_z.jpg,image/jpeg,105874,2015-09-30 15:18:51.484651
188,,2015-10-02,,,,2026,2015-10-03 09:03:17.304206,2015-10-03 09:03:17.304206,,,image.jpeg,image/jpeg,424016,2015-10-03 09:03:15.348131
189,,2015-07-02,,,,2012,2015-10-03 09:11:41.94408,2015-10-03 09:11:41.94408,,,image.png,image/png,1761254,2015-10-03 09:11:36.999856
190,,2015-10-02,,,1798,1949,2015-10-06 13:11:44.042402,2015-10-06 13:25:38.143437,,,Madison's_Square_Garden_2011.jpg,image/jpeg,95829,2015-10-06 13:25:35.167359
191,,2015-10-02,,,,1520,2015-10-06 15:48:47.843069,2015-10-06 15:48:47.843069,,,,,,
192,,2015-10-07,,,1799,1763,2015-10-09 20:31:59.982405,2015-10-09 20:31:59.982405,,,20151007_204323_(1).jpg,image/jpeg,1131583,2015-10-09 20:31:58.032982
193,,2015-08-26,,,,2032,2015-10-14 17:42:23.476855,2015-10-14 17:42:23.476855,,,,,,
194,,2015-10-15,,,1800,1542,2015-10-16 15:56:05.850534,2015-10-16 15:56:05.850534,,,20151015_231720.jpg,image/jpeg,911859,2015-10-16 15:56:04.238211
195,,2015-10-17,,,1801,1939,2015-10-26 20:01:17.444604,2015-10-26 20:01:17.444604,,,20151017_013418.jpg,image/jpeg,1022748,2015-10-26 20:01:16.186342
183,,2015-09-18,,,,2039,2015-09-22 01:40:15.334742,2015-11-03 15:04:20.984991,45,,20150919_020456.jpg,image/jpeg,960177,2015-09-22 01:40:13.555302
196,,2015-10-31,,,,,2015-11-03 15:17:16.284062,2015-11-03 15:17:16.284062,45,,20151101_041320.jpg,image/jpeg,1037901,2015-11-03 15:17:15.399356
197,,2015-10-31,,,,,2015-11-03 15:18:11.68574,2015-11-03 15:18:11.68574,3,,20151101_041320.jpg,image/jpeg,1037901,2015-11-03 15:18:11.035637
198,,2015-10-29,,,1802,1939,2015-11-03 15:21:39.347602,2015-11-03 15:21:39.347602,,,,,,
199,,2015-10-31,,,,2042,2015-11-03 15:30:39.455967,2015-11-03 15:30:39.455967,,,20151031_184246.jpg,image/jpeg,849502,2015-11-03 15:30:38.856446
200,,2015-11-14,,,1803,,2015-11-15 00:39:41.974079,2015-11-15 00:39:41.974079,21,,20151114_051504.jpg,image/jpeg,1114996,2015-11-15 00:39:41.178424
201,,2015-11-14,,,,2043,2015-11-25 14:39:48.659135,2015-11-25 14:39:48.659135,,,,,,
